Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Ethiopia Yirgacheffe Natural,ethiopia-yirgacheffe-natural,"Grown at high altitude in the birthplace of coffee, this natural-process Yirgacheffe is picked and dried whole on raised beds under the Ethiopian sun. The result is a wildly expressive cup — juicy, almost wine-like, with blueberry and jasmine up front and a long dark-chocolate finish. Light roast. Best within 21 days of roast.",Common Roast,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee",Coffee,"single-origin,ethiopia,light-roast,natural-process,yirgacheffe",TRUE,active,CR-ETH-YRG-250G-WHO,,Size,250g,,Grind,Whole Bean,,,,,22.00,,,TRUE,,250,g,100,g,shopify,20,DENY,350,g,TRUE,manual,https://raw.githubusercontent.com/SagirisWebDev/Shopify-newstore/main/data/img/ethiopia-yirgacheffe-natural.png,1,Ethiopia Yirgacheffe Natural,,FALSE,Ethiopia Yirgacheffe Natural — Common Roast,"Natural-process Ethiopian single-origin with blueberry, jasmine, and dark chocolate. Light roast. Ships fresh within days of roast.",,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee",,,,,,new,FALSE,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-250G-COA,,Size,250g,,Grind,Coarse,,,,,22.00,,,,,250,g,100,g,shopify,20,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-250G-MED,,Size,250g,,Grind,Medium,,,,,22.00,,,,,250,g,100,g,shopify,20,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-250G-FIN,,Size,250g,,Grind,Fine,,,,,22.00,,,,,250,g,100,g,shopify,20,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-250G-ESP,,Size,250g,,Grind,Espresso,,,,,22.00,,,,,250,g,100,g,shopify,20,DENY,350,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-1KG-WHO,,Size,1kg,,Grind,Whole Bean,,,,,70.00,,,,,1000,g,100,g,shopify,20,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-1KG-COA,,Size,1kg,,Grind,Coarse,,,,,70.00,,,,,1000,g,100,g,shopify,20,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-1KG-MED,,Size,1kg,,Grind,Medium,,,,,70.00,,,,,1000,g,100,g,shopify,20,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-1KG-FIN,,Size,1kg,,Grind,Fine,,,,,70.00,,,,,1000,g,100,g,shopify,20,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,ethiopia-yirgacheffe-natural,,,,,,,,CR-ETH-YRG-1KG-ESP,,Size,1kg,,Grind,Espresso,,,,,70.00,,,,,1000,g,100,g,shopify,20,DENY,1150,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
